Artist(S) Name,Cover Url,Key,Mode,Released Day,Released Month,Released Year,Released Year (bin),Track Name,Acousticness %,Artist Count,Bpm,Danceability %,Energy %,In Apple Charts,In Apple Playlists,In Deezer Charts,In Deezer Playlists,In Shazam Charts,In Spotify Charts,In Spotify Playlists,Instrumentalness %,Liveness %,Speechiness %,Streams,Valence %
"Latto, Jung Kook",Not Found,B,Major,14,7,2023,2020,Seven (feat. Latto) (Explicit Ver.),31,2,125,80,83,263,43,10,45,826,147,553,0,8,4,141381703,89
Myke Towers,https://i.scdn.co/image/ab67616d0000b2730656d5ce813ca3cc4b677e05,C#,Major,23,3,2023,2020,LALA,7,1,92,71,74,126,48,14,58,382,48,1474,0,10,4,133716286,61
Olivia Rodrigo,https://i.scdn.co/image/ab67616d0000b273e85259a1cae29a8d91f2093d,F,Major,30,6,2023,2020,vampire,17,1,138,51,53,207,94,14,91,949,113,1397,0,31,6,140003974,32
Taylor Swift,https://i.scdn.co/image/ab67616d0000b273e787cffec20aa2a396a61647,A,Major,23,8,2019,2015,Cruel Summer,11,1,170,55,72,207,116,12,125,548,100,7858,0,11,15,800840817,58
Bad Bunny,https://i.scdn.co/image/ab67616d0000b273ab5c9cd818ad6ed3e9b79cd1,A,Minor,18,5,2023,2020,WHERE SHE GOES,14,1,144,65,80,133,84,15,87,425,50,3133,63,11,6,303236322,23
"Dave, Central Cee",https://i.scdn.co/image/ab67616d0000b273e3a09a9ae3f1fa102c110e60,C#,Major,1,6,2023,2020,Sprinter,19,2,141,92,58,213,67,17,88,946,91,2186,0,8,24,183706234,66
"Eslabon Armado, Peso Pluma",https://i.scdn.co/image/ab67616d0000b2732071a0c79802d9375a53bfef,F,Minor,16,3,2023,2020,Ella Baila Sola,48,2,148,67,76,222,34,13,43,418,50,3090,0,8,3,725980112,83
Quevedo,https://i.scdn.co/image/ab67616d0000b273a00a817b017c6f6bf8460be9,F,Major,7,7,2023,2020,Columbia,37,1,100,67,71,89,25,13,30,194,43,714,0,11,4,58149378,26
Gunna,https://i.scdn.co/image/ab67616d0000b273017d5e26552345c4b1575b6c,C#,Minor,15,5,2023,2020,fukumean,12,1,130,85,62,210,60,11,48,953,83,1096,0,28,9,95217315,22
"Peso Pluma, Yng Lvcas",Not Found,D,Minor,17,3,2023,2020,La Bebe - Remix,21,2,170,81,48,110,49,13,66,339,44,2953,0,8,33,553634067,56
"Bad Bunny, Grupo Frontera",Not Found,F#,Minor,17,4,2023,2020,un x100to,23,2,83,57,72,205,41,12,54,251,40,2876,0,27,5,505671438,56
NewJeans,https://i.scdn.co/image/ab67616d0000b2733d98a0ae7c78a3a9babaf8af,F,Minor,7,7,2023,2020,Super Shy,18,1,150,78,82,202,37,5,21,168,55,422,0,15,7,58255150,52
Miley Cyrus,https://i.scdn.co/image/ab67616d0000b27358039b5147731b6e52202e46,,Major,12,1,2023,2020,Flowers,6,1,118,71,68,215,300,58,745,1021,115,12211,0,3,7,1316855716,65
David Kushner,https://i.scdn.co/image/ab67616d0000b27395ca6a9b4083a86c149934ae,D,Minor,14,4,2023,2020,Daylight,83,1,130,51,43,156,80,24,182,1281,98,3528,0,9,3,387570742,32
Harry Styles,https://i.scdn.co/image/ab67616d0000b2732e8ed79e177ff6011076f5f0,F#,Minor,31,3,2022,2020,As It Was,34,1,174,52,73,198,403,46,863,,130,23575,0,31,6,2513188493,66
SZA,https://i.scdn.co/image/ab67616d0000b2730c471c36970b9406233842a5,G#,Major,8,12,2022,2020,Kill Bill,5,1,89,64,73,162,183,12,161,187,77,8109,17,16,4,1163093654,43
